split,class,image,reason
train,A,1000.png,no_hands_detected
train,A,1001.png,no_hands_detected
train,A,1002.png,no_hands_detected
train,A,1004.png,no_hands_detected
train,A,1005.png,no_hands_detected
train,A,1006.png,no_hands_detected
train,A,1007.png,no_hands_detected
train,A,1008.png,no_hands_detected
train,A,1009.png,no_hands_detected
train,A,1010.png,no_hands_detected
train,A,1012.png,no_hands_detected
train,A,1013.png,no_hands_detected
train,A,1014.png,no_hands_detected
train,A,1015.png,no_hands_detected
train,A,1016.png,expected_2_got_1
train,A,1017.png,expected_2_got_1
train,A,1018.png,expected_2_got_1
train,A,1020.png,expected_2_got_1
train,A,1021.png,expected_2_got_1
train,A,1022.png,expected_2_got_1
train,A,1023.png,expected_2_got_1
train,A,1027.png,expected_2_got_1
train,A,1028.png,expected_2_got_1
train,A,1029.png,expected_2_got_1
train,A,1032.png,expected_2_got_1
train,A,1033.png,expected_2_got_1
train,A,1034.png,expected_2_got_1
train,A,1035.png,expected_2_got_1
train,A,1036.png,expected_2_got_1
train,A,1037.png,expected_2_got_1
train,A,1038.png,expected_2_got_1
train,A,1040.png,expected_2_got_1
train,A,1042.png,no_hands_detected
train,A,1043.png,no_hands_detected
train,A,1044.png,no_hands_detected
train,A,1045.png,no_hands_detected
train,A,1046.png,no_hands_detected
train,A,1048.png,no_hands_detected
train,A,1049.png,no_hands_detected
train,A,1050.png,no_hands_detected
train,A,1051.png,no_hands_detected
train,A,1052.png,no_hands_detected
train,A,1053.png,no_hands_detected
train,A,1054.png,no_hands_detected
train,A,1055.png,no_hands_detected
train,A,1057.png,expected_2_got_1
train,A,1058.png,no_hands_detected
train,A,1060.png,no_hands_detected
train,A,1062.png,expected_2_got_1
train,A,1063.png,expected_2_got_1
train,A,1065.png,"invalid_handedness_['Right', 'Right']"
train,A,1068.png,"invalid_handedness_['Right', 'Right']"
train,A,1081.png,"invalid_handedness_['Right', 'Right']"
train,A,1082.png,"invalid_handedness_['Right', 'Right']"
train,A,1121.png,expected_2_got_1
train,A,1125.png,expected_2_got_1
train,A,1126.png,expected_2_got_1
train,A,1127.png,expected_2_got_1
train,A,1129.png,expected_2_got_1
train,A,1130 - Copy.png,expected_2_got_1
train,A,1130.png,expected_2_got_1
train,A,1131 - Copy.png,expected_2_got_1
train,A,1131.png,expected_2_got_1
train,A,1132 - Copy.png,expected_2_got_1
train,A,1132.png,expected_2_got_1
train,A,1133.png,expected_2_got_1
train,A,1134.png,expected_2_got_1
train,A,1135.png,expected_2_got_1
train,A,1136.png,expected_2_got_1
train,A,1137.png,expected_2_got_1
train,A,1138.png,expected_2_got_1
train,A,1139.png,expected_2_got_1
train,A,1141.png,expected_2_got_1
train,A,1142.png,expected_2_got_1
train,A,1143.png,expected_2_got_1
train,A,1144.png,expected_2_got_1
train,A,1145.png,expected_2_got_1
train,A,1147.png,expected_2_got_1
train,A,1148.png,expected_2_got_1
train,A,1149.png,expected_2_got_1
train,A,1151.png,expected_2_got_1
train,A,1152.png,expected_2_got_1
train,A,1153.png,expected_2_got_1
train,A,1154.png,expected_2_got_1
train,A,1155.png,expected_2_got_1
train,A,1157.png,expected_2_got_1
train,A,1158.png,expected_2_got_1
train,A,1161.png,expected_2_got_1
train,A,1163.png,expected_2_got_1
train,A,1164.png,expected_2_got_1
train,A,1165.png,expected_2_got_1
train,A,1271.png,expected_2_got_1
train,A,1272.png,expected_2_got_1
train,A,1273.png,expected_2_got_1
train,A,1274.png,expected_2_got_1
train,A,1275.png,expected_2_got_1
train,A,1276.png,expected_2_got_1
train,A,1278.png,expected_2_got_1
train,A,1279.png,expected_2_got_1
train,A,1280.png,expected_2_got_1
train,A,1281.png,expected_2_got_1
train,A,286.png,expected_2_got_1
train,A,287.png,expected_2_got_1
